chrom	start	end	nSites	recombRate	CI95LO	CI95HI
b'HemMar#1#scaffold_1'	46000	92000	149	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	92000	138000	658	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	138000	184000	422	1.3822540923213472e-10	0	4.900918452201921e-10
b'HemMar#1#scaffold_1'	184000	230000	694	1.460999541448016e-10	0	4.97966390132859e-10
b'HemMar#1#scaffold_1'	230000	276000	307	1.2883444753900164e-10	0	4.80700883527059e-10
b'HemMar#1#scaffold_1'	276000	322000	342	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	322000	368000	726	1.065977441118078e-09	7.141110051300205e-10	1.4178438771061354e-09
b'HemMar#1#scaffold_1'	368000	414000	467	4.835428421369384e-10	1.3167640614888094e-10	8.354092781249958e-10
b'HemMar#1#scaffold_1'	460000	506000	54	8.914120377778046e-10	5.395456017897472e-10	1.243278473765862e-09
b'HemMar#1#scaffold_1'	506000	552000	151	2.726357225970617e-10	0	6.245021585851191e-10
b'HemMar#1#scaffold_1'	552000	598000	119	4.999975317272978e-10	1.481310957392403e-10	8.518639677153552e-10
b'HemMar#1#scaffold_1'	598000	644000	168	5.089101153539132e-11	0	4.027574475234487e-10
b'HemMar#1#scaffold_1'	1104000	1150000	64	5.114668562097445e-10	1.59600420221687e-10	8.633332921978019e-10
b'HemMar#1#scaffold_1'	1196000	1242000	111	4.096056066251369e-10	5.7739170637079436e-11	7.614720426131943e-10
b'HemMar#1#scaffold_1'	1242000	1288000	350	1.960442208967385e-10	0	5.479106568847959e-10
b'HemMar#1#scaffold_1'	1288000	1334000	199	9.238442889372556e-10	5.719778529491982e-10	1.275710724925313e-09
b'HemMar#1#scaffold_1'	1334000	1380000	487	3.547281539323297e-10	2.861717944272222e-12	7.065945899203871e-10
b'HemMar#1#scaffold_1'	1380000	1426000	496	8.569941867926711e-10	5.051277508046137e-10	1.2088606227807285e-09
b'HemMar#1#scaffold_1'	1426000	1472000	340	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	1472000	1518000	260	9.794689988370898e-10	6.276025628490323e-10	1.3313354348251472e-09
b'HemMar#1#scaffold_1'	1518000	1564000	359	1.307161184887644e-10	0	4.825825544768218e-10
b'HemMar#1#scaffold_1'	1564000	1610000	698	2.7506361462988477e-09	1.5928228122027007e-09	3.908449480394994e-09
b'HemMar#1#scaffold_1'	1610000	1656000	310	2.032638421078445e-10	0	5.551302780959019e-10
b'HemMar#1#scaffold_1'	1656000	1702000	498	5.799259233693433e-10	2.2805948738128586e-10	9.317923593574007e-10
b'HemMar#1#scaffold_1'	1702000	1748000	858	3.407488612047869e-10	0	6.926152971928443e-10
b'HemMar#1#scaffold_1'	1748000	1794000	170	2.980046753174511e-10	0	6.498711113055085e-10
b'HemMar#1#scaffold_1'	1794000	1840000	201	2.955402679670847e-11	0	3.814204627847659e-10
b'HemMar#1#scaffold_1'	1840000	1886000	126	1.906258907828737e-09	7.484455737325898e-10	3.064072241924884e-09
b'HemMar#1#scaffold_1'	1886000	1932000	266	4.308912711131072e-10	7.902483512504974e-11	7.827577071011646e-10
b'HemMar#1#scaffold_1'	1932000	1978000	219	3.7364836284771234e-10	2.1781926859654885e-11	7.255147988357697e-10
b'HemMar#1#scaffold_1'	1978000	2024000	162	2.2248353765406517e-09	1.0670220424445047e-09	3.3826487106367987e-09
b'HemMar#1#scaffold_1'	2024000	2070000	238	8.668689331086292e-10	5.150024971205718e-10	1.2187353690966866e-09
b'HemMar#1#scaffold_1'	2070000	2116000	372	9.20865712798896e-11	0	4.43953007267947e-10
b'HemMar#1#scaffold_1'	2116000	2162000	800	4.87995893849386e-10	1.361294578613285e-10	8.398623298374434e-10
b'HemMar#1#scaffold_1'	2162000	2208000	558	5.570287171173688e-10	2.0516228112931135e-10	9.088951531054262e-10
b'HemMar#1#scaffold_1'	2208000	2254000	460	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	2254000	2300000	487	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	2300000	2346000	485	2.7445039807309077e-10	0	6.263168340611482e-10
b'HemMar#1#scaffold_1'	2346000	2392000	941	1.0483116394672493e-12	0	3.5291474762752465e-10
b'HemMar#1#scaffold_1'	2392000	2438000	766	5.452809273441942e-11	0	4.063945287224768e-10
b'HemMar#1#scaffold_1'	2438000	2484000	715	5.178999247917304e-10	1.6603348880367296e-10	8.697663607797878e-10
b'HemMar#1#scaffold_1'	2484000	2530000	416	4.971261744363897e-10	1.4525973844833222e-10	8.489926104244471e-10
b'HemMar#1#scaffold_1'	2530000	2576000	724	9.498988716180002e-10	5.980324356299427e-10	1.3017653076060576e-09
b'HemMar#1#scaffold_1'	2576000	2622000	473	1.024735821985388e-09	6.728693859973307e-10	1.3766022579734455e-09
b'HemMar#1#scaffold_1'	2622000	2668000	700	5.135396360429134e-10	1.61673200054856e-10	8.654060720309709e-10
b'HemMar#1#scaffold_1'	2668000	2714000	589	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	2714000	2760000	806	1.9251043910234166e-09	7.672910569272696e-10	3.0829177251195636e-09
b'HemMar#1#scaffold_1'	2760000	2806000	340	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	2806000	2852000	294	7.351680022711255e-11	0	4.2538323621516996e-10
b'HemMar#1#scaffold_1'	2898000	2944000	941	3.7424277127725855e-11	0	3.8929071311578326e-10
b'HemMar#1#scaffold_1'	2944000	2990000	806	8.335100185937405e-10	4.816435826056831e-10	1.1853764545817979e-09
b'HemMar#1#scaffold_1'	2990000	3036000	391	4.4254719516822817e-10	9.068075918017071e-11	7.944136311562856e-10
b'HemMar#1#scaffold_1'	3036000	3082000	232	2.1202049409133475e-10	0	5.638869300793922e-10
b'HemMar#1#scaffold_1'	3082000	3128000	409	3.716964676514982e-12	0	3.555834006645724e-10
b'HemMar#1#scaffold_1'	3128000	3174000	724	9.979706317354226e-11	0	4.5166349916159966e-10
b'HemMar#1#scaffold_1'	3174000	3220000	474	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	3220000	3266000	624	8.853496989567186e-10	5.334832629686612e-10	1.237216134944776e-09
b'HemMar#1#scaffold_1'	3266000	3312000	532	2.9664436657994705e-10	0	6.485108025680045e-10
b'HemMar#1#scaffold_1'	3312000	3358000	418	1.9369551419258388e-10	0	5.455619501806413e-10
b'HemMar#1#scaffold_1'	3358000	3404000	814	7.366625166851786e-11	0	4.2553268765657527e-10
b'HemMar#1#scaffold_1'	3404000	3450000	411	9.849891467249164e-10	6.33122710736859e-10	1.3368555827129738e-09
b'HemMar#1#scaffold_1'	3450000	3496000	746	2.2427808903556153e-10	0	5.761445250236189e-10
b'HemMar#1#scaffold_1'	3496000	3542000	598	3.74252610485808e-10	2.2386174497750545e-11	7.261190464738654e-10
b'HemMar#1#scaffold_1'	3542000	3588000	564	2.1807628367540552e-10	0	5.699427196634629e-10
b'HemMar#1#scaffold_1'	3588000	3634000	471	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	3634000	3680000	585	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	3680000	3726000	1033	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	3726000	3772000	376	2.2830318568662872e-10	0	5.801696216746861e-10
b'HemMar#1#scaffold_1'	3772000	3818000	848	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	3818000	3864000	417	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	3864000	3910000	717	2.5098759541786674e-10	0	6.028540314059241e-10
b'HemMar#1#scaffold_1'	3910000	3956000	886	3.790165899096852e-10	2.7150153921627768e-11	7.308830258977426e-10
b'HemMar#1#scaffold_1'	3956000	4002000	474	4.005966479697342e-10	4.873021198167675e-11	7.524630839577916e-10
b'HemMar#1#scaffold_1'	4002000	4048000	578	2.704630937405399e-10	0	6.223295297285973e-10
b'HemMar#1#scaffold_1'	4048000	4094000	521	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	4094000	4140000	199	7.137998434862378e-10	3.619334074981803e-10	1.0656662794742952e-09
b'HemMar#1#scaffold_1'	4140000	4186000	328	3.9704137855113076e-10	4.51749425630733e-11	7.489078145391882e-10
b'HemMar#1#scaffold_1'	4186000	4232000	361	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	4232000	4278000	514	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	4278000	4324000	60	5.736173976551952e-10	2.2175096166713772e-10	9.254838336432526e-10
b'HemMar#1#scaffold_1'	4324000	4370000	837	9.33916946431965e-11	0	4.452581306312539e-10
b'HemMar#1#scaffold_1'	4370000	4416000	691	9.024763141754e-11	0	4.421140674055974e-10
b'HemMar#1#scaffold_1'	4416000	4462000	171	9.413035885399928e-10	5.894371525519354e-10	1.2931700245280502e-09
b'HemMar#1#scaffold_1'	4462000	4508000	543	3.031824760125089e-11	0	3.821846835893083e-10
b'HemMar#1#scaffold_1'	4508000	4554000	859	0	0	3.518664359880574e-10
